BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Albies2B,5,1,1,2,0,2,0,.251,.702
SwansonSS,5,2,4,2,0,0,0,.268,.782
OzunaLF,5,0,1,0,0,3,2,.231,.669
HerediaLF,0,0,0,0,0,0,0,.111,.506
Riley3B,4,1,2,1,1,1,1,.244,.788
Olson1B,4,0,1,0,1,2,2,.244,.795
"Contreras, WmC",2,2,1,1,2,1,2,.273,1.146
DuvallCF,2,1,1,0,2,1,2,.200,.561
ArciaDH,3,1,2,1,1,0,3,.341,.929
DemeritteRF,4,0,0,0,0,2,5,.207,.588
,34,8,13,7,7,12,17,,
