BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Chang2B,3,1,1,2,1,1,1,.221,.630
"Díaz, YDH",5,1,1,0,0,1,4,.273,.771
ArozarenaLF,3,1,2,1,2,1,0,.259,.753
Paredes3B,5,1,1,2,0,0,4,.216,.742
"Mejía, FC",4,0,2,1,0,0,2,.260,.700
Bethancourt1B,4,0,0,0,0,2,3,.235,.637
SiriCF,4,3,3,0,0,1,0,.187,.545
QuinnRF,4,0,0,0,0,3,3,.206,.568
WallsSS,2,1,1,2,2,0,1,.172,.556
,34,8,11,8,5,9,18,,
