PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Hearn(L, 0-1)",3.2,6,3,3,1,4,0,4.70
"Martin, B",0.1,0,0,0,0,0,0,6.75
"Richards, G",1.0,0,0,0,1,2,0,9.00
Moore,2.0,1,1,1,2,3,0,4.50
"Holland, G",1.0,2,2,2,0,0,1,7.71
"Barlow, J",1.0,3,1,1,0,0,1,6.00
,9.0,12,7,7,4,9,2,
