PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Syndergaard(W, 2-0)",6.0,5,2,2,0,4,0,1.59
"Bradley(H, 1)",2.0,0,0,0,0,3,0,4.50
"Ortega, O",1.0,1,0,0,0,1,0,3.00
,9.0,6,2,2,0,8,0,
