BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
GrishamCF,4,0,0,0,0,1,0,.138,.332
"Machado, M3B",4,1,1,0,0,0,0,.231,.679
Cronenworth2B,4,0,2,1,0,1,0,.292,.817
VoitDH,4,0,0,0,0,1,2,.190,.623
Hosmer1B,3,0,0,0,1,0,1,.381,.959
1-AzocarPR,0,0,0,0,0,0,0,.500,1.167
ProfarLF,3,0,1,0,0,0,0,.353,1.241
MyersRF,3,0,1,0,0,2,1,.185,.473
a-BeatyPH,1,0,0,0,0,1,3,.111,.222
AlfaroC,3,0,0,0,0,2,1,.273,.909
AbramsSS,3,0,0,0,0,1,1,.071,.259
,32,1,5,1,1,9,9,,
