Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2017,25,27.6,4.44,,38,28,242,64.1
2018,26,27.0,4.51,,59,48,331,50.7
2019,27,26.7,4.6,,43,46,357,47.9
2021,29,26.6,4.65,,22,41,404,40.3
2022,30,25.6,4.76,,32,38,533,14.6
