,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,587,519,56,124,18,63,0,.239,.319,.391,.710
6 Seasons,3119,2816,376,746,125,372,2,.265,.330,.457,.787
