Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,15,0,0.0,.592,
2017,R,580,5,0.9,.340,.668
2018,R,635,14,2.2,.305,.416
2019,R,676,18,2.7,.372,.418
2021,R,612,27,4.4,.322,.400
2022,R,583,16,2.7,.314,.228
