BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BuxtonDH,4,0,0,0,0,1,3,.256,.985
Arraez1B,3,0,2,0,1,1,0,.316,.790
Polanco2B,4,0,1,0,0,2,4,.248,.742
KeplerRF,3,0,0,0,1,0,2,.230,.756
Miranda3B,4,0,0,0,0,2,3,.128,.427
KirilloffLF,3,0,1,0,0,2,0,.172,.398
a-CelestinoPH-LF,1,0,0,0,0,1,0,.341,.840
JeffersC,4,0,0,0,0,2,1,.192,.642
GordonCF,4,0,2,0,0,1,1,.250,.599
LewisSS,4,0,1,0,0,1,2,.286,.619
,34,0,7,0,2,13,16,,
