PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Winder(L, 2-1)",3.1,6,4,3,3,2,1,2.45
Thielbar,1.2,1,0,0,1,1,0,7.50
Duffey,2.0,1,0,0,2,2,0,3.29
Sands,2.0,1,1,1,0,4,1,6.75
,9.0,9,5,4,6,9,2,
