Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2017,,21.5,24,23.8,0,5,16,11,45.8
2018,,21.9,15,15.8,-1,6,10,9,60.0
2019,,22.3,11,10.0,1,2,8,4,36.4
2020,,21.8,13,9.1,4,6,9,3,23.1
2021,,23.4,25,17.7,7,10,12,8,32.0
2022,,22.5,17,16.0,1,8,15,4,23.5
Player,,22.3,105,92.5,13,37,70,39,37.1
