BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, Y3B",4,0,0,1,1,1,2,.263,.749
FrancoDH,5,0,0,0,0,1,3,.312,.832
Choi1B,4,0,0,0,0,2,2,.283,.878
ArozarenaLF,3,0,0,0,1,1,0,.223,.613
"Mejía, FC",4,0,0,0,0,1,1,.306,.825
KiermaierCF,4,2,1,1,0,3,1,.179,.584
Bruján2B,4,1,1,1,0,0,0,.100,.382
WallsSS,4,1,1,0,0,1,1,.189,.607
"Phillips, BRF",1,0,1,0,1,0,0,.158,.489
"a-Ramírez, HPH-RF",1,0,1,1,0,0,0,.311,.729
,34,4,5,4,3,10,10,,
