PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
McClanahan,7.0,3,0,0,1,11,0,2.52
"Kittredge(BS, 2)",0.2,3,2,2,0,0,1,3.00
Poche,0.1,0,0,0,0,1,0,2.25
"Feyereisen(W, 3-0)",1.0,0,0,0,0,1,0,0.00
"Raley, B(S, 3)",1.0,0,0,0,1,1,0,1.80
,10.0,6,2,2,2,14,1,
