PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
"Oller(L, 2-8)",1.0,3,3,3,2,2,0,6.30
Sears,6.0,2,0,0,2,6,0,3.86
Snead,1.0,2,2,0,0,1,0,6.02
,8.0,7,5,3,4,9,0,
