BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rodríguez, JCF",3,1,1,1,2,0,0,.270,.808
France1B,5,1,0,1,0,1,6,.276,.783
HanigerDH,4,0,0,1,0,2,2,.247,.717
"Suárez, E3B",5,2,2,3,0,1,0,.233,.788
WinkerLF,2,0,1,0,1,0,0,.222,.696
b-SantanaPH,0,0,0,0,1,0,0,.194,.661
1-ToroPR-2B,1,0,0,0,0,1,0,.183,.568
Frazier2B-LF,5,0,1,0,0,2,2,.242,.620
TrammellRF,2,0,0,0,0,1,1,.209,.705
a-HaggertyPH-RF,1,1,0,0,1,1,2,.295,.822
CasaliC,3,1,0,0,1,2,3,.211,.645
"Crawford, JSS",4,0,2,0,0,1,3,.253,.679
,35,6,7,6,6,12,19,,
