PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
Kopech,3.2,3,4,1,2,4,1,3.54
"Ruiz, J",1.0,1,0,0,1,0,0,4.35
Diekman,0.2,1,1,1,1,1,0,4.38
"Kelly, J(H, 13)",0.2,0,0,0,1,1,0,7.28
"Bummer(W, 1-1)(BS, 2)",1.0,2,1,1,1,2,1,3.38
"Velasquez(H, 1)",1.0,0,0,0,0,1,0,5.25
"Hendriks(S, 31)",1.0,0,0,0,0,3,0,3.31
,9.0,7,6,3,6,12,2,
