PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Castillo, L",5.2,5,6,3,1,8,1,2.81
Murfee,0.1,0,0,0,1,1,0,2.51
Festa,1.0,0,0,0,0,2,0,3.27
"Castillo. D(L, 7-3)",1.0,1,1,0,0,1,0,3.50
Flexen,1.0,2,2,0,1,0,0,3.83
,9.0,8,9,3,3,12,1,
