PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Gray, Js(W, 1-1)",5.0,1,0,0,3,5,0,4.00
"Finnegan(H, 1)",1.0,1,1,1,0,0,1,3.00
"Doolittle(H, 1)",1.0,0,0,0,0,1,0,0.00
"Cishek(H, 1)",1.0,0,0,0,0,1,0,0.00
"Rainey(S, 2)",1.0,1,0,0,0,1,0,0.00
,9.0,3,1,1,3,8,1,
