PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
McKenzie,4.0,3,0,0,0,6,0,2.57
"Morgan(W, 1-0)",3.0,1,1,1,0,4,1,1.80
Sandlin,1.0,2,2,2,0,0,1,5.40
Clase,1.0,1,0,0,0,2,0,9.00
,9.0,7,3,3,0,12,2,
