PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
Freeland,7.0,7,2,2,0,5,0,4.29
"Colomé(L, 2-2)",1.0,2,1,1,0,0,0,2.63
,8.0,9,3,3,0,5,0,
