Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2018,11,58,3,1,45,1,1,3,58,4,80,31,91,69,76,96,
2019,,,,,,,,,37,,,,,,74,,
2020,18,62,11,5,33,11,7,23,34,15,92,20,94,51,81,95,30
2021,13,71,11,3,27,8,3,4,52,6,95,1,95,26,75,8,43
2022,19,74,8,2,48,1,1,8,60,7,92,29,99,37,79,13,24
