Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
New York Yankees,MLB,Bases Empty,309,288,,68,14,0,2,2,19,50,,,2,.236,.288,.306,.594
New York Yankees,MLB,Bases Loaded,14,12,,7,2,0,1,18,1,0,,,0,.583,.571,1.000,1.571
New York Yankees,MLB,Runner at 1st,93,82,,21,2,0,1,3,8,10,,,2,.256,.337,.317,.654
New York Yankees,MLB,Runners at 1st & 2nd,38,37,,12,0,0,0,7,1,4,,,0,.324,.342,.324,.666
New York Yankees,MLB,Runners at 1st & 3rd,18,16,,4,0,0,0,6,0,0,,,0,.250,.222,.250,.472
New York Yankees,MLB,Runner at 2nd,41,33,,7,1,0,0,3,5,6,,,1,.212,.333,.242,.575
New York Yankees,MLB,Runners at 2nd & 3rd,7,6,,1,0,0,0,2,0,2,,,0,.167,.143,.167,.310
New York Yankees,MLB,Runner at 3rd,11,9,,6,1,0,0,7,1,0,,,0,.667,.636,.778,1.414
New York Yankees,MLB,Scoring Position,129,113,,37,4,0,1,43,8,12,,,1,.327,.362,.389,.751
