Season,Age,Pitches,"Batted
Balls",Barrels,Barrel %,Barrel/PA,"Exit
Velocity",Max EV,"Launch
Angle","Sweet
Spot %",XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%
2018,23,1499,300,2,0.7,0.5,84.9,107.9,7.0,28.7,.256,.316,.301,.288,.303,23.7,15.7,7.1
2019,24,848,155,2,1.3,0.9,87.2,104.9,6.8,29.7,.221,.302,.272,.263,.296,33.5,22.1,6.3
2020,25,799,180,4,2.2,1.8,87.2,106.2,0.8,22.2,.260,.340,.307,.294,.310,31.1,14.0,6.1
2021,26,2396,548,10,1.8,1.5,85.5,107.9,5.4,31.6,.267,.349,.293,.292,.312,28.8,13.3,4.1
2022,27,1940,419,5,1.2,0.9,86.2,109.8,4.3,29.6,.262,.333,.285,.290,.304,30.1,13.6,6.6
Player,,7482,1602,23,1.4,1.1,85.9,109.8,5.0,29.3,.258,.333,.292,.288,.306,28.9,14.8,5.8
MLB,,,,,6.7,4.6,88.4,122.4,12.1,33.0,.245,.405,.316,.315,.368,35.8,22.1,8.4
