PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
Llovera,1.0,0,0,0,0,1,0,2.25
"Littell(L, 0-1)",2.0,2,1,1,0,3,1,1.13
Brebbia,1.0,2,0,0,0,0,0,1.64
Alvarez,0.1,3,2,2,0,0,0,3.86
Santos,1.2,0,0,0,0,1,0,0.00
McGee,0.2,3,3,3,0,1,0,8.64
"Rogers, Ty",0.1,2,1,1,1,0,0,2.70
"García, J",1.0,0,0,0,0,0,0,0.00
Long,1.0,0,0,0,1,1,0,3.48
,9.0,12,7,7,2,7,1,
