BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rodríguez, JCF",4,0,0,0,0,1,5,.277,.839
FranceDH,3,0,0,0,1,2,1,.270,.776
HanigerRF,4,0,0,0,0,1,1,.224,.659
Santana1B,4,1,1,0,0,0,1,.201,.707
"Crawford, JSS",4,0,0,0,0,0,2,.252,.690
"Moore, D2B",3,0,0,0,0,1,2,.213,.755
b-FrazierPH,1,0,0,0,0,1,0,.237,.611
Toro3B,3,0,0,0,0,3,2,.178,.549
CasaliC,1,0,0,0,2,1,0,.206,.645
HaggertyLF,1,0,0,1,1,1,1,.269,.767
a-WinkerPH-LF,0,0,0,0,1,0,0,.218,.682
,28,1,1,1,5,11,15,,
