PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Castillo, L(L, 7-6)",4.2,6,4,4,2,4,1,2.85
Brash,0.1,0,0,0,0,1,0,4.17
Festa,1.0,0,0,0,1,1,0,3.99
Flexen,2.0,1,0,0,1,2,0,3.72
,8.0,7,4,4,4,8,1,
