BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,4,0,0,1,0,0,0,.267,.867
TurnerSS,4,0,0,0,0,3,1,.306,.847
"Freeman, F1B",3,0,0,0,1,0,0,.324,.933
Muncy3B,4,1,2,0,0,1,1,.167,.631
"Thompson, TCF",2,1,0,0,2,0,1,.248,.785
Lux2B,3,0,0,0,1,2,3,.295,.795
"Vargas, MDH",4,0,2,2,0,0,2,.500,1.250
OutmanLF,4,1,1,0,0,3,3,.600,1.767
"Barnes, AC",4,0,1,0,0,1,3,.177,.623
,32,3,6,3,4,10,14,,
