BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YastrzemskiRF,5,1,2,1,0,1,1,.200,.517
RamosRF,0,0,0,0,0,0,0,.500,1.000
Belt1B,4,2,2,2,1,2,0,.438,1.401
"Williams, L3B",0,0,0,0,0,0,0,.500,1.000
RufDH,2,2,0,0,2,1,2,.222,.669
PedersonLF,5,1,2,1,0,1,4,.308,.938
"Crawford, BraSS",1,1,0,0,1,0,2,.188,.466
DubónSS,3,0,1,0,0,0,0,.182,.440
Flores3B-1B,5,3,3,2,0,1,1,.267,.827
Estrada2B,5,2,2,3,0,1,1,.278,.816
DuggarCF,3,0,1,2,0,2,1,.154,.431
BartC,4,1,2,1,0,2,1,.364,1.260
,37,13,15,12,4,11,13,,
