PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Darvish(L, 0-1)",1.2,8,9,9,2,2,1,10.57
Crismatt,1.1,2,1,1,1,2,0,2.08
Adams,1.1,0,0,0,0,1,0,0.00
Lamet,1.2,3,1,1,1,4,0,4.50
"Suarez, R",1.0,0,0,0,0,2,0,12.00
Myers,1.0,2,2,2,0,0,2,18.00
,8.0,15,13,13,4,11,3,
