PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
Flexen,5.1,6,2,2,2,5,0,4.23
"Muñoz, A",1.2,0,0,0,0,4,0,4.70
"Swanson, E",1.0,0,0,0,0,2,0,1.06
Sewald,1.0,0,0,0,0,1,0,2.92
"Castillo. D(L, 3-1)",1.0,1,2,1,0,0,1,5.25
,10.0,7,4,3,2,12,1,
