 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2013,,320,15.7,41.3%,1.3%,181,21.3,2.8%,9.4%
2014,,657,15.8,38.5%,2.1%,422,22.5,1.7%,12.8%
2015,,601,16.1,41.8%,3.7%,264,22.7,6.1%,18.2%
2016,,640,17.7,30.0%,4.8%,369,24.4,4.1%,25.2%
2017,,615,17.1,24.9%,2.3%,496,23.2,0.6%,14.1%
2018,,581,15.8,39.9%,1.7%,453,22.4,1.1%,11.9%
2019,,585,16.8,28.9%,2.4%,472,23.0,1.7%,14.6%
2020,,280,17.4,25.0%,1.8%,206,23.0,0.0%,11.7%
2021,,211,18.5,19.9%,4.3%,128,23.0,3.9%,12.5%
2022,,572,18.1,21.0%,3.3%,346,23.7,1.4%,15.0%
