Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2013,MIA,NL,CF,33,33,301.0,80,77,3,0,2,,1.000
2013,MIA,NL,RF,36,36,327.2,87,80,5,2,2,,.977
2014,MIA,NL,LF,11,10,92.2,31,29,2,0,1,,1.000
2014,MIA,NL,CF,140,136,1206.0,338,325,8,5,0,,.985
2014,MIA,NL,RF,4,0,10.0,2,2,0,0,0,,1.000
2015,MIA,NL,CF,111,104,924.2,244,238,5,1,0,,.996
2015,MIA,NL,RF,15,15,122.2,35,35,0,0,0,,1.000
2016,MIA,NL,LF,11,11,95.1,17,17,0,0,0,,1.000
2016,MIA,NL,CF,123,122,1069.0,286,276,5,5,0,,.983
2016,MIA,NL,RF,9,9,70.2,20,17,3,0,0,,1.000
2017,MIA,NL,LF,152,151,1335.0,320,305,10,5,0,,.984
2017,MIA,NL,CF,3,2,18.0,7,7,0,0,0,,1.000
2017,MIA,NL,RF,1,0,1.1,2,2,0,0,0,,1.000
2017,MIA,NL,DH,2,2,0.0,0,0,0,0,0,,.000
2018,STL,NL,LF,147,146,1283.1,274,264,6,4,4,,.985
2019,STL,NL,LF,129,129,1112.0,189,181,4,4,0,,.979
2020,ATL,NL,LF,19,19,145.0,40,39,0,1,0,,.975
2020,ATL,NL,RF,2,2,17.0,4,3,0,1,0,,.750
2020,ATL,NL,DH,39,39,0.0,0,0,0,0,0,,.000
2021,ATL,NL,LF,48,48,411.1,94,92,2,0,0,,1.000
2022,ATL,NL,LF,52,52,420.0,80,78,1,1,0,,.988
2022,ATL,NL,DH,72,72,0.0,0,0,0,0,0,,.000
10 Seasons,3 Teams,,LF,569,566,4894.2,1045,1005,25,15,5,,.986
,2 Teams,,RF,67,62,549.1,150,139,8,3,2,,.980
,2 Teams,,DH,113,113,0.0,0,0,0,0,0,,.000
,MIA,NL,CF,410,397,3518.2,955,923,21,11,2,,.988
