 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2013,,291,"1,104",8,-10,3,4,5
2014,,611,"2,384",5,-5,6,11,17
2015,,492,"1,824",-6,-10,5,7,-4
2016,,606,"2,218",1,-13,6,9,3
2017,,673,"2,554",15,4,17,12,48
2018,,622,"2,313",0,-18,12,9,3
2019,,577,"2,371",-5,-10,11,14,9
2020,,317,"1,292",10,4,9,7,30
2021,,208,758,2,-14,7,4,-1
2022,,515,"2,056",-7,-24,7,7,-16
