 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,75,78.6,74.1,--,--,--,--,--,--,--,--,68,73.5,--,--,7,--
2021,107,82.1,77.3,--,--,--,--,--,--,--,--,107,77.3,--,--,--,--
2022,130,83.6,79.2,--,--,--,--,--,--,--,--,130,79.2,--,--,--,--
