Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2016,-2,,-1,-1,2,-1,-1,-1,0,-2,89,88,-1
2017,2,,-1,2,0,1,1,1,-1,1,87,87,0
2018,-1,,-1,0,-1,-2,1,0,-1,0,85,85,0
2019,-8,,-1,1,-3,-3,-2,-1,-1,-5,86,83,-3
2020,-2,,0,0,0,0,0,-1,-1,-2,90,86,-4
2021,0,,0,0,0,0,0,0,0,0,91,91,0
2022,-3,,0,0,0,0,-1,0,-1,-2,87,84,-3
