 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2016,30,69,43.5,-5,0.1,-0.2,0.1,0,33.7
2017,46,88,52.3,0,0.6,0.1,0.1,0.7,33.5
2018,31,76,40.8,-2,0.3,-0.4,0.3,0.1,33.7
2019,21,55,38.2,-5,0.3,-1,-0.1,-0.8,32.2
2020,1,8,12.5,-3,-0.2,-2.2,-0.2,-2.8,30.2
2021,4,13,30.8,-2,-0.1,-1,0,-1.1,32.1
2022,4,19,21.1,-4,0.1,-1.8,0.4,-1.4,32.2
