 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2011,,152,594,-5,-11,3,4,-9
2012,,367,"1,334",7,-7,8,5,13
2013,,682,"2,587",6,-16,8,12,10
2014,,609,"2,451",8,-4,15,17,35
2015,,726,"2,854",-2,12,26,13,49
2016,,741,"2,925",0,11,18,15,44
2017,,716,"2,880",5,-12,19,15,27
2018,,650,"2,440",-9,-7,20,14,18
2019,,605,"2,450",2,-1,22,16,39
2020,,247,"1,017",-14,2,3,6,-2
2021,,578,"2,244",-5,-17,23,13,14
2022,,579,"2,286",0,-14,17,16,19
