Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,25,26.0,4.61,,31,54,457,32.4
2016,26,25.9,4.47,,33,60,471,31.4
2017,27,25.7,4.58,,34,56,493,26.7
2018,28,25.6,4.58,,44,54,508,24.2
2019,29,25.2,4.58,,41,46,549,19.8
2020,30,24.8,4.69,,44,39,452,9.8
2021,31,25.2,4.66,,46,37,551,18.5
2022,32,25.5,4.66,,40,30,539,13.6
