Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2011,SD,NL,1B,45,37,341.2,344,316,26,2,28,,.994
2012,CHC,NL,1B,85,85,730.2,735,685,46,4,76,,.995
2013,CHC,NL,1B,159,158,1415.0,1441,1287,149,5,114,,.997
2014,CHC,NL,1B,140,140,1259.0,1311,1184,118,9,104,,.993
2015,CHC,NL,1B,160,160,1430.1,1465,1330,126,9,102,,.994
2016,CHC,NL,1B,154,151,1337.0,1399,1268,125,6,98,,.996
2016,CHC,NL,2B,1,0,0.1,1,0,1,0,0,,1.000
2017,CHC,NL,1B,157,155,1341.0,1375,1222,150,3,112,,.998
2017,CHC,NL,2B,10,0,4.1,2,0,2,0,1,,1.000
2017,CHC,NL,3B,1,0,1.0,0,0,0,0,0,,.000
2017,CHC,NL,LF,1,0,0.0,0,0,0,0,0,,.000
2018,CHC,NL,P,1,0,0.1,0,0,0,0,0,,.000
2018,CHC,NL,1B,153,148,1326.1,1287,1133,147,7,128,,.995
2018,CHC,NL,2B,1,0,0.1,0,0,0,0,0,,.000
2019,CHC,NL,1B,146,144,1226.2,1268,1140,123,5,120,,.996
2020,CHC,NL,1B,57,57,474.1,463,418,44,1,39,,.998
2021,CHC,NL,P,1,0,0.2,0,0,0,0,0,,.000
2021,CHC,NL,1B,92,91,775.2,757,660,94,3,68,,.996
2021,CHC,NL,2B,1,0,0.0,0,0,0,0,0,,.000
2021,NYY,AL,1B,47,46,414.1,335,308,24,3,30,,.991
2021,2 Teams,,1B,139,137,1190.0,1092,968,118,6,98,,.995
2022,NYY,AL,1B,120,115,1034.0,996,919,72,5,71,,.995
2022,NYY,AL,DH,9,9,0.0,0,0,0,0,0,,.000
12 Seasons,CHC,NL,P,2,0,1.0,0,0,0,0,0,,.000
,3 Teams,,1B,1515,1487,13106.0,13176,11870,1244,62,1090,,.995
,CHC,NL,2B,13,0,5.0,3,0,3,0,1,,1.000
,CHC,NL,3B,1,0,1.0,0,0,0,0,0,,.000
,CHC,NL,LF,1,0,0.0,0,0,0,0,0,,.000
,NYY,AL,DH,9,9,0.0,0,0,0,0,0,,.000
