PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Springs(W, 4-3)",6.0,4,2,0,0,6,0,2.50
"Poche(H, 13)",1.0,0,0,0,0,1,0,3.09
"Raley, B(H, 15)",1.0,0,0,0,0,1,0,2.62
Garza Jr.,1.0,2,0,0,0,0,0,3.34
,9.0,6,2,0,0,8,0,
