PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Hutchison(L, 1-5)",6.0,8,4,2,3,3,1,4.37
Lange,1.0,1,1,1,2,3,0,3.02
Vest,1.0,0,0,0,0,0,0,3.05
"Peralta, Wi",1.0,3,1,1,0,0,0,2.36
,9.0,12,6,4,5,6,1,
