BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,4,0,1,0,0,2,0,.275,.832
GuerreroDH,4,0,1,0,0,0,1,.282,.851
KirkC,4,0,0,0,0,1,2,.300,.827
BichetteSS,3,0,0,0,1,2,0,.259,.722
Biggio1B,3,0,0,0,0,0,2,.215,.689
"Chapman, M3B",3,0,0,0,0,3,1,.233,.774
"Tapia, RLF",3,0,0,0,0,1,1,.262,.655
Espinal2B,3,0,0,0,0,1,0,.268,.697
Bradley Jr.RF,3,0,0,0,0,1,0,.207,.572
,30,0,2,0,1,11,7,,
