BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MorelCF,4,0,1,0,0,2,1,.277,.832
ContrerasDH,3,0,1,0,0,0,0,.268,.899
HappLF,4,0,1,0,0,2,3,.274,.838
Schwindel1B,4,0,1,0,0,2,1,.234,.668
Wisdom3B,4,0,0,0,0,1,2,.217,.759
GomesC,4,1,1,1,0,2,0,.256,.689
HoernerSS,3,0,0,0,0,0,0,.277,.698
HeywardRF,3,0,0,0,0,0,0,.226,.610
Villar2B,3,0,0,0,0,0,0,.223,.576
,32,1,5,1,0,9,7,,
