Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2012,BAL,AL,202,85,83,1,1,.293,18,6,37,715,3.540,.188,.035,.237,.183,3,1
2013,BAL,AL,710,288,246,9,3,.322,68,15,108,2505,3.528,.159,.020,.257,.148,6,0
2014,BAL,AL,354,141,115,2,2,.317,26,13,64,1290,3.644,.192,.034,.294,.153,2,1
2015,BAL,AL,713,318,193,2,4,.297,66,17,69,2789,3.912,.156,.049,.631,.216,6,1
2016,BAL,AL,696,341,253,0,5,.309,78,14,116,2566,3.687,.172,.053,.400,.239,6,1
2017,BAL,AL,690,297,220,0,9,.265,67,17,109,2548,3.693,.167,.048,.435,.213,7,3
2018,BAL,AL,413,210,134,0,3,.311,46,14,82,1477,3.576,.123,.058,.882,.260,1,0
2018,LAD,NL,296,130,125,0,2,.296,29,12,58,1052,3.554,.179,.044,.472,.213,1,0
2018,2 Teams,,709,340,259,0,5,.304,75,26,140,2529,3.567,.147,.052,.673,.241,2,0
2019,SD,NL,661,271,224,0,3,.274,55,24,103,2418,3.658,.194,.048,.508,.206,3,0
2020,SD,NL,254,130,96,0,4,.297,29,9,41,936,3.685,.146,.063,.703,.277,2,1
2021,SD,NL,640,276,205,0,11,.290,61,10,80,2238,3.497,.159,.044,.618,.211,4,0
2022,SD,NL,644,307,256,0,2,.337,70,12,116,2371,3.682,.207,.050,.474,.234,6,2
11 Seasons,3 Teams,,6273,2794,2150,14,49,.301,613,163,983,22905,3.651,.170,.045,.480,.211,47,10
