Name,Year,0ft,5ft,10ft,15ft,20ft,25ft,30ft,35ft,40ft,45ft,50ft,55ft,60ft,65ft,70ft,75ft,80ft,85ft,90ft
"Machado, Manny - RHB",2015,0.00,0.54,0.84,1.09,1.33,1.56,1.78,1.99,2.19,2.38,2.57,2.76,2.94,3.12,3.29,3.47,3.65,3.83,4.00
"Machado, Manny - RHB",2016,0.00,0.56,0.87,1.14,1.39,1.63,1.85,2.06,2.27,2.46,2.65,2.84,3.03,3.21,3.39,3.58,3.76,3.94,4.14
"Machado, Manny - RHB",2017,0.00,0.55,0.85,1.13,1.38,1.61,1.83,2.04,2.24,2.43,2.62,2.81,2.99,3.18,3.36,3.54,3.72,3.90,4.09
"Machado, Manny - RHB",2018,0.00,0.55,0.86,1.13,1.38,1.62,1.84,2.05,2.25,2.44,2.63,2.82,3.01,3.19,3.37,3.55,3.73,3.92,4.12
"Machado, Manny - RHB",2019,0.00,0.56,0.87,1.14,1.40,1.63,1.85,2.06,2.26,2.46,2.65,2.83,3.02,3.20,3.38,3.56,3.75,3.94,4.14
"Machado, Manny - RHB",2020,0.00,0.56,0.89,1.17,1.42,1.65,1.86,2.07,2.27,2.47,2.65,2.84,3.02,3.20,3.38,3.56,3.75,3.93,4.11
"Machado, Manny - RHB",2021,0.00,0.58,0.91,1.18,1.42,1.64,1.86,2.06,2.26,2.46,2.64,2.82,3.00,3.19,3.36,3.54,3.71,3.89,4.07
"Machado, Manny - RHB",2022,0.00,0.57,0.91,1.18,1.44,1.67,1.89,2.10,2.30,2.49,2.69,2.87,3.06,3.24,3.42,3.60,3.79,3.97,4.17

