PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Snell(W, 4-5)",6.0,4,1,1,0,9,0,4.16
"Hill, T",1.0,1,0,0,1,1,0,3.38
"Wilson, S",1.0,1,0,0,0,0,0,3.78
Crismatt,1.0,0,0,0,0,2,0,2.76
,9.0,6,1,1,1,12,0,
