BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,0,0,0,0,1,1,.258,.783
a-MazaraPH-LF,1,0,0,0,0,1,1,.273,.689
"Soto, JRF",3,1,1,0,2,0,1,.246,.894
"Machado, M3B",4,2,3,1,0,0,1,.293,.882
b-BattenPH-3B,1,0,0,0,0,1,2,.118,.426
Bell1B,2,2,0,0,2,1,0,.300,.876
Cronenworth2B,3,2,2,3,0,1,0,.244,.750
DruryDH,3,1,1,4,0,0,1,.275,.864
AlfaroC,4,1,1,0,0,1,1,.272,.732
GrishamCF,4,0,1,1,0,3,0,.199,.662
KimSS,4,0,1,0,0,1,1,.249,.703
,33,9,10,9,4,10,9,,
