PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
Davies,4.0,4,3,3,4,3,0,5.40
"Nelson, K",1.0,0,0,0,0,1,0,0.00
Wendelken,1.0,1,0,0,1,0,0,4.32
Mantiply,1.0,3,0,0,0,0,0,0.00
"Kennedy, I(W, 1-1)",1.0,1,0,0,1,1,0,5.14
"Melancon(S, 3)",1.0,0,0,0,0,0,0,1.29
,9.0,9,3,3,6,5,0,
