BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
VarshoCF,4,1,0,1,0,1,0,.203,.697
"Smith, PRF",3,0,1,1,0,2,0,.265,.689
b-HummelPH,0,1,0,0,1,0,0,.152,.697
LuplowRF,0,0,0,0,0,0,0,.000,.000
PeraltaLF,4,1,2,2,0,0,1,.237,.716
"Walker, C1B",4,0,0,0,0,1,2,.161,.644
BeerDH,3,0,0,0,0,1,0,.306,.843
"Marte, K2B",3,0,0,0,1,1,2,.149,.451
"Alcántara, Se3B",3,0,0,0,0,2,1,.121,.385
PerdomoSS,3,1,1,0,0,1,0,.189,.659
"Herrera, JC",1,1,0,0,1,0,0,.059,.297
"a-Kelly, CPH-C",1,0,0,0,0,1,0,.100,.268
,29,5,4,4,3,10,6,,
