Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,24,28.9,4.23,3,4,8,47,93.2
2016,25,28.4,4.22,2,14,17,103,85.1
2017,26,28.5,4.27,3,15,15,109,83.9
2018,27,28.3,4.28,,17,15,131,80.6
2019,28,28.1,4.36,1,25,19,170,75.3
2020,29,28.1,4.36,,15,9,102,79.8
2021,30,28.6,4.37,5,13,7,91,86.7
2022,31,28.9,4.37,9,6,4,70,88.9
