PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Urías, J",5.0,1,0,0,1,5,0,3.86
"Phillips, E(W, 1-0)",1.0,0,0,0,0,1,0,4.15
Price,1.0,0,0,0,0,2,0,3.38
"White, M",1.1,3,2,2,1,3,0,5.40
"Hudson, D(S, 1)",0.2,0,0,0,0,1,0,0.00
,9.0,4,2,2,2,12,0,
