BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Farmer, KSS",4,1,1,0,0,0,0,.300,.749
NaquinDH,4,0,0,1,0,1,1,.276,.827
PhamLF,4,0,1,1,0,1,0,.043,.228
Votto1B,4,0,0,0,0,3,1,.129,.431
"Stephenson, TC",4,0,2,0,0,0,1,.292,.921
AquinoRF,3,0,0,0,0,2,2,.087,.342
Moustakas3B,3,0,0,0,0,2,2,.143,.281
Drury2B,2,0,0,0,1,2,1,.250,.982
FraleyCF,2,1,0,0,1,1,1,.125,.514
,30,2,4,2,2,12,9,,
