BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,5,0,0,0,0,3,3,.261,.802
BichetteSS,5,1,2,0,0,0,3,.284,.798
Guerrero1B,5,1,2,1,0,0,1,.276,.819
KirkDH,2,0,0,0,2,0,0,.292,.805
"Chapman, M3B",4,0,1,0,0,1,4,.235,.776
"Hernández, TRF",4,0,1,2,0,1,2,.261,.788
"Tapia, RLF",4,0,0,0,0,0,3,.262,.666
"Jansen, DC",3,0,1,0,1,1,2,.253,.825
Merrifield2B,3,0,1,0,0,1,1,.237,.646
a-BiggioPH-2B,1,1,0,0,0,0,0,.202,.676
,36,3,8,3,3,7,19,,
