Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2022,,22.1,18,21.0,-3,9,19,4,22.2
Player,,22.1,18,21.0,-3,9,19,4,22.2
