 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2018,,73,18.6,13.7%,0.0%,38,24.9,5.3%,15.8%
2019,,36,18.0,13.9%,2.8%,11,25.2,0.0%,18.2%
2020,,0,--,--,--,2,18.7,0.0%,0.0%
2021,,422,19.0,11.8%,4.5%,290,24.9,0.0%,20.7%
2022,,549,18.1,17.7%,2.9%,427,23.9,0.7%,18.3%
