Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2018,R,58,5,8.6,.402,.138
2019,R,28,13,46.4,.139,.202
2020,R,2,0,0.0,.000,
2021,R,374,118,31.6,.330,.381
2022,R,528,223,42.2,.300,.336
