Season,Team,Pos,PA,Depth (ft.),Angle
2018,STL,3,97,107,35
2018,STL,5,309,107,-34
2019,TEX,3,155,105,32
2019,TEX,5,126,113,-35
2020,CHC,3,13,113,33
2021,CHC,9,62,300,27
2021,CHC,3,341,108,35
2021,CHC,5,2495,116,-28
2021,CHC,7,445,305,-28
2022,CHC,3,508,108,36
2022,CHC,8,30,325,3
2022,CHC,9,202,297,26
2022,CHC,5,3778,118,-29
2022,CHC,7,138,296,-27
