 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,1,62.7,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
2021,303,93.0,88.8,35,--,--,--,231,88.8,--,--,33,--,--,--,4,--
2022,436,98.0,87.9,52,--,--,--,356,87.9,--,--,9,--,4,--,15,--
