PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Webb(L, 11-8)",5.2,4,1,0,1,7,0,2.89
"Young, Al",0.1,0,0,0,1,0,0,3.09
"Rogers, Ty",0.2,3,3,1,0,0,1,4.58
Alexander,1.1,1,0,0,0,2,0,0.00
Leone,1.0,1,0,0,1,0,0,4.11
,9.0,9,4,1,3,9,1,
