BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,5,1,2,0,0,2,1,.241,.728
"Soto, JRF",3,0,0,0,2,1,1,.250,.890
"Machado, M3B",5,1,2,1,0,0,3,.304,.907
BellDH,4,0,1,1,0,2,4,.281,.831
Cronenworth2B,3,0,1,0,1,1,1,.242,.732
Drury1B,4,0,0,0,0,1,5,.259,.801
KimSS,4,1,1,0,0,0,0,.257,.712
GrishamCF,4,1,2,2,0,1,1,.195,.664
"Nola, AuC",4,0,0,0,0,1,1,.249,.642
,36,4,9,4,3,9,17,,
