Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2022,CLE,AL,638,225,217,2,4,.323,38,9,101,2643,4.143,.094,.009,1.033,.101,4,1
1 Season,CLE,AL,638,225,217,2,4,.323,38,9,101,2643,4.143,.094,.009,1.033,.101,4,1
