,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2022,CLE,AL,147,638,563,89,168,25,7,6,52,62,60,19,5,7,.298,.373,.400,.773
,1 Season,CLE,AL,147,638,563,89,168,25,7,6,52,62,60,19,5,7,.298,.373,.400,.773
