BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
GrossmanRF,4,2,3,1,1,1,0,.286,.709
MeadowsLF,4,3,2,2,1,0,2,.325,.838
"Cabrera, MDH",4,1,2,2,0,0,1,.326,.760
1-HaasePR-DH,1,0,1,0,0,0,0,.192,.622
Candelario3B,4,0,1,2,1,1,2,.163,.465
"2-Castro, WPR-3B",0,0,0,0,0,0,0,.286,.661
Schoop2B,5,1,2,2,0,0,2,.140,.444
Torkelson1B,5,2,2,3,0,2,3,.231,.849
"Castro, HSS",5,2,4,0,0,0,0,.333,.787
BarnhartC,5,0,2,0,0,2,3,.217,.574
BaddooCF,5,2,1,1,0,1,6,.129,.440
,42,13,20,13,3,7,19,,
