PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Gausman(L, 0-1)",5.2,6,2,2,0,9,0,4.22
Mayza,0.1,0,0,0,0,1,0,0.00
Phelps,1.0,1,0,0,1,0,0,3.00
Merryweather,1.0,1,1,1,0,0,0,4.91
,8.0,8,3,3,1,10,0,
